X,Y,Path_curvature,Xin,Yin,Xout,Yout
-2.584343508,0.019733158,1.51E-05,-2.584743689,-4.999765962,-2.583946437,5.000234006
-2.925005167,0.022334202,1.71E-05,-2.925381017,-4.999740469,-2.924632621,5.000259503
-3.265898232,0.024936967,1.91E-05,-3.266246089,-4.999716871,-3.265553789,5.000283105
-3.607016372,0.027541391,2.11E-05,-3.607328631,-4.999695685,-3.606707497,5.000304295
-3.948364611,0.030147516,2.31E-05,-3.948643253,-4.999676777,-3.948089273,5.000323207
-4.28995065,0.032755392,2.51E-05,-4.290189154,-4.99966059,-4.289715218,5.000339398
-4.631779062,0.035365045,2.71E-05,-4.631972742,-4.999647443,-4.631588076,5.000352549
-4.97384989,0.037976473,2.88E-05,-4.97400031,-4.999637231,-4.973701716,5.000362765
-5.316159784,0.040589643,2.86E-05,-5.316257449,-4.999630599,-5.316063677,5.000369399
-5.658703556,0.043204511,2.79E-05,-5.658752712,-4.999627261,-5.658655236,5.000372739
-6.001476217,0.045821034,2.72E-05,-6.001480456,-4.999626973,-6.001472054,5.000373027
-6.344473936,0.048439172,2.65E-05,-6.344425309,-4.999630277,-6.344521637,5.000369723
-6.687693851,0.051058903,2.58E-05,-6.687602644,-4.999636474,-6.687783228,5.000363524
-7.031134295,0.053680208,2.51E-05,-7.03099853,-4.9996457,-7.031267194,5.000354296
-7.374793753,0.056303066,2.44E-05,-7.374611719,-4.999658072,-7.374971757,5.000341922
-7.718670493,0.058927463,2.37E-05,-7.718448996,-4.999673127,-7.718886858,5.000326863
-8.062762753,0.061553376,2.31E-05,-8.062497417,-4.999691164,-8.063021667,5.000308822
-8.407068395,0.064180785,2.24E-05,-8.40676311,-4.999711919,-8.407365976,5.000288063
-8.751585433,0.06680967,2.17E-05,-8.751243733,-4.999735152,-8.751918157,5.000264826
-9.09631221,0.069440007,2.09E-05,-9.095927968,-4.999761279,-9.096685962,5.000238693
-9.441247028,0.072071784,2.02E-05,-9.440828748,-4.999789723,-9.441653456,5.000210243
-9.78638877,0.074704985,1.96E-05,-9.785934793,-4.999820597,-9.786829413,5.000179363
-10.13173635,0.077339591,1.92E-05,-10.13124621,-4.999853933,-10.13221159,5.000146021
-10.47728875,0.079975598,1.92E-05,-10.47676725,-4.999889404,-10.47779385,5.000110544
-10.82304532,0.082612991,1.92E-05,-10.82248732,-4.99992736,-10.8235852,5.00007258
-11.16900525,0.085251764,1.92E-05,-11.16841419,-4.999967567,-11.16957649,5.000032365
-11.51516803,0.087891919,1.92E-05,-11.51454437,-5.000009995,-11.51577015,4.99998993
-11.86153338,0.090533427,1.93E-05,-11.86087236,-5.000054967,-11.86217088,4.999944949
-12.2081009,0.09317631,1.93E-05,-12.20740816,-5.000102099,-12.20876826,4.999897809
-12.55487065,0.095820547,1.93E-05,-12.55414223,-5.000151661,-12.55557163,4.999848237
-12.90184258,0.098466131,1.93E-05,-12.90107929,-5.000203599,-12.90257633,4.999796289
-13.24901677,0.101113081,1.94E-05,-13.24822153,-5.000257714,-13.24978041,4.999742164
-13.59639364,0.103761373,1.94E-05,-13.59555947,-5.00031448,-13.59719379,4.999685386
-13.94397318,0.106411026,1.94E-05,-13.94310679,-5.000373443,-13.94480333,4.999626413
-14.29175592,0.109062036,1.94E-05,-14.29085434,-5.000434804,-14.29261886,4.99956504
-14.63974218,0.111714393,1.95E-05,-14.63880427,-5.000498641,-14.64063891,4.999501191
-14.98793217,0.114368111,1.95E-05,-14.98696185,-5.000564688,-14.98885889,4.999435132
-15.33632647,0.117023174,1.93E-05,-15.33531756,-5.000633364,-15.33728898,4.999366442
-15.68492508,0.119679578,1.92E-05,-15.68388303,-5.0007043,-15.68591813,4.999295492
-16.03372847,0.122337311,1.90E-05,-16.03265198,-5.000777586,-16.03475322,4.999222194
