X,Y,Path_curvature,Xin,Yin,Xout,Yout
-2.595557356,0.01981878,3.66E-07,-2.595956762,-4.999765123,-2.595161067,5.000234845
-2.947448097,0.02250556,4.14E-07,-2.947822163,-4.999738915,-2.947077345,5.000261057
-3.299584854,0.025194168,4.62E-07,-3.299929307,-4.999714779,-3.299243816,5.000285198
-3.651962166,0.02788455,5.10E-07,-3.652270139,-4.999693196,-3.651657571,5.000306786
-4.004585992,0.030576753,5.59E-07,-4.004858238,-4.999674113,-4.00431702,5.000325872
-4.357464177,0.033270828,6.07E-07,-4.357694109,-4.999657994,-4.357237252,5.000341996
-4.710600702,0.035966796,6.55E-07,-4.710784731,-4.99964509,-4.710419276,5.000354903
-5.063994719,0.038664649,7.04E-07,-5.064131688,-4.999635484,-5.063859833,5.000364512
-5.417642006,0.041364343,7.51E-07,-5.417725757,-4.99962961,-5.417559618,5.000370389
-5.771536927,0.044065834,7.97E-07,-5.771571767,-4.999627166,-5.771502691,5.000372834
-6.125674416,0.046769076,8.44E-07,-6.125660121,-4.999628169,-6.125688448,5.000371831
-6.480050654,0.049474026,8.90E-07,-6.479985741,-4.999632725,-6.480114303,5.000367274
-6.834662999,0.05218067,9.37E-07,-6.83455333,-4.999640422,-6.834770419,5.000359575
-7.189509694,0.05488898,9.84E-07,-7.189353283,-4.999651402,-7.189662729,5.000348594
-7.54458897,0.057598938,1.03E-06,-7.544388069,-4.999665506,-7.544785321,5.000334486
-7.899898901,0.060310525,1.08E-06,-7.899655047,-4.999682627,-7.900136971,5.000317361
-8.255437347,0.063023714,1.12E-06,-8.255150364,-4.999702779,-8.255717218,5.000297205
-8.611202046,0.065738489,1.17E-06,-8.610875868,-4.999725685,-8.611519794,5.000274294
-8.96719102,0.068454818,1.22E-06,-8.966823556,-4.999751493,-8.967548593,5.000248481
-9.323402428,0.071172687,1.26E-06,-9.322996486,-4.999780005,-9.323797011,5.000219963
-9.679834797,0.073892082,1.31E-06,-9.679392621,-4.999811066,-9.680264127,5.000188897
-10.03648693,0.076612976,1.36E-06,-10.03600759,-4.999844739,-10.03695183,5.000155217
-10.39335768,0.079335368,1.39E-06,-10.39284455,-4.999880788,-10.3938548,5.000119161
