X,Y,Path_curvature,Xin,Yin,Xout,Yout
-2.933796317,0.049324417,-0.000172099,-2.933235942,-5.000694031,-2.934345592,4.999305907
-3.457690303,0.058131216,-0.000202831,-3.457583255,-5.000705147,-3.457794861,4.999294851
-3.981734836,0.066939981,-0.000233572,-3.982163915,-5.000660758,-3.981317205,4.999339206
-4.505922007,0.075750493,-0.000264322,-4.506974255,-5.00055201,-4.504901391,4.999447776
-5.030244351,0.084562547,-0.000289967,-5.032013364,-5.000369401,-5.028534432,4.999629993
-5.554697978,0.093376054,-0.000283873,-5.557234889,-5.000107861,-5.552254191,4.999890899
-6.079281695,0.102191104,-0.000275064,-6.082580589,-4.999768231,-6.076114655,5.000229679
-6.603994892,0.111007833,-0.000266252,-6.608034928,-4.999352881,-6.600129352,5.000643995
-7.128837261,0.119826382,-0.000257439,-7.13359744,-4.998864177,-7.124297842,5.001131499
-7.653808645,0.128646899,-0.000248623,-7.659267804,-4.998304491,-7.648619846,5.001689841
-8.17890881,0.137469528,-0.000239806,-8.18504563,-4.997676196,-8.173095014,5.002316664
-8.704137407,0.146294412,-0.000230986,-8.710930426,-4.996981669,-8.697722866,5.003009609
-9.229494019,0.155121694,-0.000222164,-9.236921631,-4.99622329,-9.222502865,5.003766314
-9.754977928,0.16395151,-0.000213358,-9.763021101,-4.995403162,-9.747431625,5.004584686
-10.28058903,0.17278399,-0.000210253,-10.28923419,-4.994522813,-10.27250371,5.005463191
-10.80632693,0.181619215,-0.000212053,-10.81555656,-4.993584183,-10.79772226,5.006399913
-11.33219037,0.190457196,-0.000213853,-11.34201061,-4.992586749,-11.32306379,5.007395301
-11.85817867,0.199297935,-0.000215653,-11.86859614,-4.991529977,-11.84852718,5.008449885
-12.38429139,0.208141438,-0.000217454,-12.39531273,-4.990413329,-12.37411201,5.009564197
-12.91052843,0.216987718,-0.000219255,-12.92216027,-4.98923627,-12.89981815,5.010738772
-13.43688992,0.225836792,-0.000221057,-13.44913891,-4.987998259,-13.42564573,5.011974145
-13.96337615,0.234688681,-0.000222859,-13.97624895,-4.986698757,-13.95159505,5.013270853
-14.48998754,0.243543407,-0.000224661,-14.50349078,-4.985337224,-14.47766652,5.014629432
-15.01672323,0.252400999,-0.000226144,-15.03087335,-4.983912111,-15.00385039,5.016051377
-15.54358595,0.261261463,-0.000225275,-15.55838376,-4.9824235,-15.53016362,5.017536682
-16.07057541,0.270124713,-0.000224205,-16.08601558,-4.980872072,-16.05661144,5.019084698
-16.59769128,0.278990652,-0.000223135,-16.61377253,-4.979258072,-16.58318977,5.020695162
-17.12493365,0.287859152,-0.000222065,-17.14165471,-4.977581752,-17.10989863,5.022367826
-17.65230302,0.296730105,-0.000220995,-17.66966252,-4.975843364,-17.63673854,5.024102436
-18.17980018,0.305603417,-0.000219924,-18.19779678,-4.97404316,-18.16371022,5.025898746
-18.70742608,0.314478997,-0.000218853,-18.72605839,-4.972181388,-18.69081461,5.027756506
-19.23518176,0.323356754,-0.000217782,-19.25444833,-4.9702583,-19.21805271,5.029675468
-19.76306629,0.332236565,-0.000216715,-19.78297341,-4.968273353,-19.74541669,5.031656121
-20.29108387,0.341118418,-0.000216085,-20.31162982,-4.966226836,-20.27291782,5.033698232
-20.81923433,0.350002307,-0.000215803,-20.84041132,-4.964119653,-20.80056124,5.035800945
-21.3475178,0.358888295,-0.00021552,-21.36932644,-4.96195181,-21.32833958,5.037964194
-21.87593462,0.367776472,-0.000215238,-21.89837554,-4.959723339,-21.85625312,5.040187945
-22.40448515,0.376666926,-0.000214955,-22.42755895,-4.957434275,-22.38430221,5.042472167
-22.93316988,0.385559749,-0.000214672,-22.95687715,-4.955084649,-22.91248731,5.044816827
-23.46198939,0.394455034,-0.000214389,-23.48633066,-4.952674496,-23.440809,5.047221892
-23.9909442,0.403352871,-0.000214106,-24.01592002,-4.950203847,-23.96926776,5.049687331
-24.52003179,0.412253303,-0.000213823,-24.5456545,-4.947671525,-24.49785082,5.052214215
-25.04925806,0.421156502,-0.000213506,-25.07552034,-4.9450784,-25.02658106,5.054801846
-25.57862091,0.430062459,-0.000213032,-25.60551913,-4.942424908,-25.55545315,5.057449762
-26.10812007,0.438971108,-0.000212547,-26.13565416,-4.939711117,-26.08446368,5.060157859
-26.6377553,0.44788234,-0.000212061,-26.66592512,-4.936937121,-26.61361244,5.062926047
-27.16752646,0.456796034,-0.000211575,-27.19633185,-4.934103011,-27.14289925,5.065754235
-27.69743358,0.465712077,-0.000211089,-27.72687432,-4.93120888,-27.67232414,5.068642332
-28.22747681,0.474630354,-0.000210603,-28.25755268,-4.92825482,-28.20188722,5.071590246
-28.75765314,0.483550701,-0.000210116,-28.78836933,-4.925240377,-28.73158087,5.074598375
-29.28796843,0.492473106,-0.00020963,-29.31933006,-4.92216508,-29.26141094,5.077667188
-29.81842137,0.501397435,-0.000209144,-29.85041732,-4.919030183,-29.79138988,5.080795603
-30.34901134,0.510323577,-0.000208668,-30.38164131,-4.915835721,-30.32150783,5.083983475
-30.87973844,0.519251498,-0.000208198,-30.91300211,-4.912581784,-30.85176487,5.087230714
-31.41060258,0.528181254,-0.000207727,-31.44449964,-4.909268459,-31.38216086,5.090537233
-31.9416034,0.53711289,-0.000207257,-31.9761335,-4.905895838,-31.91269542,5.09390294
-32.47274066,0.546046448,-0.000206787,-32.50790343,-4.902464012,-32.44336829,5.097327746
-33.00401043,0.554981908,-0.000206316,-33.03980931,-4.898972697,-32.97417233,5.100811889
-33.53541925,0.563919425,-0.000205845,-33.57186282,-4.895421031,-33.50510978,5.104356169
-34.06696569,0.57285902,-0.000205374,-34.10404071,-4.891810503,-34.03619733,5.107959359
-34.5986488,0.581800723,-0.000204903,-34.6363548,-4.888141126,-34.56742334,5.111621294
-35.13046869,0.59074458,-0.000204443,-35.16880522,-4.884412989,-35.0987879,5.115341887
-35.66242542,0.599690623,-0.000204005,-35.70139199,-4.880626179,-35.63029101,5.119121051
-36.19451864,0.608638867,-0.000203568,-36.23411485,-4.876780777,-36.16193227,5.122958703
-36.72674768,0.617589315,-0.000203131,-36.76697306,-4.872876872,-36.69371098,5.126854758
-37.25910721,0.626541893,-0.000202694,-37.29996815,-4.868913867,-37.22561615,5.130809719
-37.79160547,0.635496751,-0.000202257,-37.83310477,-4.86489149,-37.75765897,5.134823902
-38.32423963,0.644453856,-0.00020182,-38.36636664,-4.860810929,-38.28984756,5.138896309
-38.85700887,0.653413208,-0.000201383,-38.89976308,-4.856672193,-38.82217278,5.143026789
