X,Y,Path_curvature,Xin,Yin,Xout,Yout
-3.19361046,-0.04659033,-6.61E-06,-3.194026805,-4.999752506,-3.193186241,5.000247458
-3.657767997,-0.053362456,-7.73E-06,-3.658201487,-4.999711827,-3.657325103,5.000288135
-4.122105427,-0.060137492,-8.85E-06,-4.122558524,-4.999669232,-4.121641236,5.000330726
-4.586613494,-0.06691534,-9.98E-06,-4.587088694,-4.999624481,-4.586125328,5.000375473
-5.051288741,-0.07369598,-1.11E-05,-5.051788481,-4.999577336,-5.050773963,5.000422612
-5.516131278,-0.080479414,-1.19E-05,-5.516657129,-4.999527641,-5.515588119,5.000472301
-5.981141955,-0.087265595,-1.14E-05,-5.981693601,-4.999475417,-5.980570591,5.000524519
-6.446320915,-0.094054433,-1.08E-05,-6.446896754,-4.999420808,-6.445722858,5.000579124
-6.9116677,-0.100845834,-1.02E-05,-6.912265844,-4.999363983,-6.911044772,5.000635943
-7.377181583,-0.107639699,-9.61E-06,-7.377800627,-4.999305069,-7.376535119,5.000694851
-7.8428618,-0.114435931,-9.00E-06,-7.843500326,-4.999244194,-7.84219316,5.00075572
-8.308707683,-0.121234434,-8.40E-06,-8.30936431,-4.999181484,-8.308018196,5.000818426
-8.774718684,-0.128035112,-0.000007793,-8.775392009,-4.999117065,-8.774009719,5.000882839
-9.240894386,-0.134837866,-7.19E-06,-9.241583176,-4.999051051,-9.24016714,5.000948849
-9.707234471,-0.141642602,-6.58E-06,-9.707937524,-4.998983551,-9.70649012,5.001016345
-10.17373871,-0.148449243,-5.98E-06,-10.17445421,-4.998914734,-10.17297909,5.001085158
-10.64040694,-0.155257759,-5.57E-06,-10.64113396,-4.998844685,-10.63963296,5.001155203
-11.10723857,-0.162068153,-5.42E-06,-11.10797673,-4.998773437,-11.10645057,5.001226447
-11.57423272,-0.168880441,-5.29E-06,-11.57498171,-4.998701016,-11.57343095,5.001298864
-12.04138877,-0.175694647,-5.15E-06,-12.04214824,-4.998627451,-12.04057354,5.001372425
-12.50870667,-0.1825108,-5.02E-06,-12.50947629,-4.99855277,-12.50787825,5.001447102
-12.97618676,-0.189328932,-4.88E-06,-12.97696652,-4.998476971,-12.97534512,5.001522897
-13.44382964,-0.196149091,-4.75E-06,-13.44461898,-4.998400104,-13.4429753,5.00159976
-13.91163593,-0.20297132,-4.61E-06,-13.91243443,-4.998322206,-13.91076927,5.001677656
-14.37960629,-0.209795664,-4.48E-06,-14.38041361,-4.998243305,-14.37872763,5.001756553
-14.84774136,-0.21662216,-4.34E-06,-14.8485572,-4.998163429,-14.84685098,5.001836425
-15.31604181,-0.223450844,-4.20E-06,-15.31686581,-4.99808261,-15.31514003,5.001917242
-15.78450827,-0.230281721,-3.97E-06,-15.78533992,-4.998000892,-15.78359558,5.001998956
-16.25314112,-0.237114765,-3.70E-06,-16.25397978,-4.997918336,-16.25221818,5.002081508
-16.72194048,-0.243949938,-3.42E-06,-16.72278576,-4.997834979,-16.72100768,5.002164863
-17.19090657,-0.250787218,-3.14E-06,-17.19175759,-4.997750904,-17.18996483,5.002248936
-17.66003996,-0.257626578,-2.86E-06,-17.66089606,-4.997666172,-17.65908996,5.002333664
-18.1293414,-0.264467981,-2.59E-06,-18.13020197,-4.997580844,-18.12838379,5.00241899
-18.59881179,-0.271311416,-2.31E-06,-18.5996762,-4.997494978,-18.59784722,5.002504854
-19.06845193,-0.278156865,-2.03E-06,-19.06931956,-4.997408636,-19.06748108,5.002591196
-19.53826264,-0.285004309,-1.75E-06,-19.53913285,-4.997321876,-19.53728617,5.002677954
-20.00824455,-0.291853723,-1.48E-06,-20.00911677,-4.997234757,-20.00726311,5.002765071
-20.47839821,-0.298705115,-1.21E-06,-20.47927186,-4.997147335,-20.47741242,5.002852493
-20.94872377,-0.305558586,-9.90E-07,-20.94959832,-4.99705966,-20.9477342,5.002940166
-21.41922098,-0.312414244,-7.79E-07,-21.42009594,-4.996971783,-21.41822818,5.003028043
-21.88988965,-0.319272204,-5.68E-07,-21.89076454,-4.99688375,-21.88889416,5.003116076
-22.36072979,-0.326132579,-3.57E-07,-22.36160416,-4.996795606,-22.35973212,5.003204218
-22.83174168,-0.332995489,-1.45E-07,-22.83261508,-4.996707397,-22.83074232,5.003292427
-23.30292565,-0.339861053,6.61E-08,-23.3037976,-4.996619171,-23.30192516,5.003380653
-23.77428208,-0.346729395,2.78E-07,-23.77515213,-4.996530973,-23.77328097,5.003468851
-24.2458113,-0.353600642,0.000000489,-24.24667899,-4.996442851,-24.24481011,5.003556975
-24.71751361,-0.360474916,7.01E-07,-24.71837842,-4.996354856,-24.71651294,5.00364497
-25.18938924,-0.367352302,9.12E-07,-25.19025076,-4.996267032,-25.18838958,5.003732794
-25.66143833,-0.374232801,1.15E-06,-25.66229604,-4.996179433,-25.6604403,5.003820395
-26.13366059,-0.38111632,1.42E-06,-26.13451392,-4.996092118,-26.13266488,5.003907712
-26.60605525,-0.388002725,1.68E-06,-26.60690365,-4.996005144,-26.60506251,5.003994686
-27.0786217,-0.394891881,1.95E-06,-27.07946458,-4.995918574,-27.07763264,5.004081258
-27.5513597,-0.40178366,2.22E-06,-27.55219651,-4.995832466,-27.55037501,5.004167368
