X,Y,Path_curvature,Xin,Yin,Xout,Yout
-0.781028965,5.05E-05,1.1029E-05,-0.779426473,-4.999948965,-0.782631457,5.000050521
-1.232598603,-9.55E-05,-9.38411E-06,-1.23097458,-5.00009563,-1.234222626,4.999903842
-1.684288431,-0.00023983,-2.09022E-05,-1.682686633,-5.00024034,-1.685890229,4.999759146
-2.136163852,-0.0003815,-2.75481E-06,-2.134603964,-5.000381329,-2.13772374,4.999618185
-2.588252578,-0.000522483,1.77645E-05,-2.58669848,-5.000521848,-2.589806676,4.999477668
-3.040554449,-0.000666211,1.51549E-05,-3.038963985,-5.000665711,-3.042144913,4.999333783
-3.493055633,-0.000812778,-5.83809E-06,-3.491431604,-5.000812675,-3.494679662,4.999186797
-3.945740809,-9.58E-04,-2.38886E-05,-3.944130805,-5.000958445,-3.947350813,4.999041037
-4.398600166,-1.10E-03,-2.42472E-05,-4.397041338,-5.001099647,-4.400158994,4.998899867
-4.851630282,-0.001235532,-2.07936E-05,-4.850125537,-5.001236003,-4.853135027,4.998763545
-5.304831622,-0.001368152,-6.71844E-06,-5.303372182,-5.0013683,-5.306291062,4.998631274
-5.758205686,-0.001499445,1.3712E-05,-5.756762275,-5.001499186,-5.759649097,4.998500398
-6.211753454,-0.001633911,1.50285E-05,-6.21028007,-5.001632827,-6.213226838,4.998366739
-6.665474912,-0.001769974,-4.10231E-06,-6.663970112,-5.00176937,-6.666979712,4.998230178
-7.119369203,-0.001903687,-1.65008E-05,-7.117873811,-5.001905122,-7.120864595,4.99809443
-7.573434995,-0.002035128,-1.38626E-05,-7.571974237,-5.002037789,-7.574895751,4.997961785
-8.027671079,-0.002170046,-1.38628E-05,-8.026241878,-5.002167637,-8.029100282,4.997831955
-8.482076604,-0.002315825,-3.43149E-05,-8.480682921,-5.002294307,-8.483470299,4.997705305
-8.936651082,-0.002469725,-5.50432E-05,-8.935338078,-5.002413702,-8.937964116,4.997585954
-9.391394188,-0.002626128,-5.58921E-05,-9.390202265,-5.002522138,-9.392586161,4.997477578
-9.84630573,-0.002780664,-5.39943E-05,-9.845239128,-5.002619211,-9.8473724,4.997380561
-10.30138561,-0.002930649,-0.000101543,-10.30044699,-5.00270467,-10.30232431,4.997295154
-10.75663384,-0.00307759,-0.000179827,-10.75592109,-5.002769606,-10.75734667,4.997230292
-11.21205025,-0.003227783,-0.000177314,-11.21175242,-5.002796778,-11.21234814,4.997203204
-11.66763503,-0.003384903,-8.81713E-05,-11.66772852,-5.002788267,-11.66754152,4.997211731
-12.12338794,-0.003548886,-4.05223E-06,-12.12367688,-5.002761918,-12.1230989,4.997238066
-12.57930883,-0.003718934,6.52351E-05,-12.57960938,-5.002734506,-12.57900816,4.997265476
-13.03539777,-0.003893971,0.000134263,-13.03555419,-5.002720241,-13.03524127,4.997279755
-13.49165512,-0.004071141,0.000207208,-13.49150946,-5.002733536,-13.49180086,4.99726646
-13.94808114,-0.004244194,0.000278814,-13.94744572,-5.002791519,-13.94871692,4.997208401
-14.40467646,-0.004410299,0.000332376,-14.40340913,-5.002907164,-14.40594455,4.997092514
-14.8614418,-0.004575789,0.00038073,-14.85942137,-5.003091544,-14.86346343,4.99690764
-15.31837783,-0.004747079,0.00041848,-15.31549789,-5.003354385,-15.32125937,4.996643955
-15.7754852,-0.004922699,0.000448622,-15.77165994,-5.003703547,-15.77931232,4.996293525
-16.23276484,-0.00509223,0.00038887,-16.2279103,-5.004146714,-16.23762122,4.99584857
-16.69021664,-0.005255527,0.000240877,-16.68446599,-5.004671954,-16.69596863,4.99532143
-17.14784152,-0.005420307,9.17414E-05,-17.14155408,-5.005246786,-17.15412938,4.994745308
-17.60564006,-0.00559024,-5.73863E-05,-17.59914744,-5.005840956,-17.61213202,4.994150614
-18.06361298,-0.005764065,-0.000203277,-18.05724704,-5.006424128,-18.06997722,4.99356777
-18.52176097,-0.005938277,-0.0003377,-18.51584571,-5.006966582,-18.52767379,4.993026422
-18.98008394,-0.006109004,-0.000462613,-18.97494797,-5.007438105,-18.98521717,4.992556623
-19.43858364,-0.006276257,-0.000507567,-19.43451289,-5.007812258,-19.44265189,4.99218443
-19.89725991,-0.006445383,-0.000535728,-19.89434525,-5.008080355,-19.90017267,4.991917947
-20.35611293,-0.006620972,-0.000514377,-20.35440913,-5.008237222,-20.35781563,4.991762198
-20.81514255,-0.006802437,-0.000470183,-20.81460893,-5.008286459,-20.81567585,4.991713485
-21.27434863,-0.006985181,-0.00037187,-21.27488363,-5.008237335,-21.27381389,4.991762607
-21.73373067,-0.007169664,-0.000231648,-21.73513214,-5.00810843,-21.73232972,4.991891178
-22.19328988,-0.007359933,-0.000103019,-22.19523114,-5.007929844,-22.19134906,4.992069402
-22.6530259,-0.007554667,0.000011461,-22.65519557,-5.007730262,-22.65085639,4.992268796
-23.11293901,-0.007747351,0.000127562,-23.11507909,-5.007533417,-23.11079875,4.992465667
-23.5730294,-0.007934195,0.000248399,-23.57487866,-5.007363348,-23.57117972,4.992635968
-24.03329711,-0.008118214,0.000344251,-24.03458631,-5.007244827,-24.03200745,4.992754841
-24.49374268,-0.0083022,0.00031069,-24.49426764,-5.007196611,-24.49321748,4.992803333
-24.9543653,-0.008482886,0.000266129,-24.95415275,-5.00721622,-24.95457795,4.99278377
-25.41516544,-0.008655576,0.000243761,-25.41434279,-5.007291993,-25.41598853,4.992707871
-25.87614315,-0.008819832,0.000223715,-25.87476332,-5.00741912,-25.87752376,4.992580498
-26.33729868,-0.008975497,0.00016496,-26.33541339,-5.007592885,-26.33918501,4.992406403
-26.79863232,-0.009119855,8.80287E-05,-26.79636855,-5.007801654,-26.80089729,4.99219732
-27.26014417,-0.009251602,3.55049E-05,-27.25767159,-5.008029835,-27.26261795,4.991968941
-27.72183419,-0.009374949,3.92607E-06,-27.71927453,-5.008266199,-27.72439499,4.991732491
-28.18370219,-0.009497549,-1.00212E-05,-28.18113334,-5.008503535,-28.18627206,4.991495145
-28.6457478,-0.009621392,-7.98298E-07,-28.64319906,-5.008739113,-28.64829744,4.991259587
