X,Y,Path_curvature,Xin,Yin,Xout,Yout
2.837964755,0,-1.95E-06,,5,2.837964755,-5
2.446378359,0,-1.97E-06,2.446378359,-5,2.446378359,5
2.054789882,0,-2.04E-06,2.054789882,-5,2.054789882,5
1.663232048,0,-2.18E-06,1.663232048,-5,1.663232048,5
1.271721632,0,-2.42E-06,1.271721632,-5,1.271721632,5
0.880254818,0,-2.74E-06,0.880254818,-5,0.880254818,5
0.488818021,0,-3.15E-06,0.488818021,-5,0.488818021,5
0.097399485,0,-3.63E-06,0.097399485,-5,0.097399485,5
-0.294006033,0,-4.17E-06,-0.294006033,-5,-0.294006033,5
-0.685406351,0,-4.77E-06,-0.685406351,-5,-0.685406351,5
-1.076870735,0,-5.41E-06,-1.076870735,-5,-1.076870735,5
-1.468525295,0,-6.05E-06,-1.468525295,-5,-1.468525295,5
-1.860458157,0,-6.66E-06,-1.860458157,-5,-1.860458157,5
-2.252701447,0,-7.23E-06,-2.252701447,-5,-2.252701447,5
-2.645250428,0,-7.74E-06,-2.645250428,-5,-2.645250428,5
-3.038081388,0,-8.20E-06,-3.038081388,-5,-3.038081388,5
-3.431168349,0,-8.61E-06,-3.431168349,-5,-3.431168349,5
-3.82449465,0,-8.97E-06,-3.82449465,-5,-3.82449465,5
-4.218055318,0,-9.29E-06,-4.218055318,-5,-4.218055318,5
-4.61185286,0,-9.58E-06,-4.61185286,-5,-4.61185286,5
-5.005891666,0,-9.83E-06,-5.005891666,-5,-5.005891666,5
-5.40017475,0,-1.00E-05,-5.40017475,-5,-5.40017475,5
-5.794702707,0,-1.02E-05,-5.794702707,-5,-5.794702707,5
-6.189473988,0,-1.04E-05,-6.189473988,-5,-6.189473988,5
-6.584485552,0,-1.06E-05,-6.584485552,-5,-6.584485552,5
-6.97973343,0,-1.07E-05,-6.97973343,-5,-6.97973343,5
-7.375213372,0,-1.08E-05,-7.375213372,-5,-7.375213372,5
-7.770921402,0,-1.09E-05,-7.770921402,-5,-7.770921402,5
-8.166854112,0,-1.10E-05,-8.166854112,-5,-8.166854112,5
-8.563008542,0,-1.11E-05,-8.563008542,-5,-8.563008542,5
-8.959382025,0,-1.12E-05,-8.959382025,-5,-8.959382025,5
-9.355972033,0,-1.13E-05,-9.355972033,-5,-9.355972033,5
-9.752776106,0,-1.13E-05,-9.752776106,-5,-9.752776106,5
-10.14979186,0,-1.14E-05,-10.14979186,-5,-10.14979186,5
-10.54701702,0,-1.15E-05,-10.54701702,-5,-10.54701702,5
-10.94444948,0,-1.16E-05,-10.94444948,-5,-10.94444948,5
-11.34208733,0,-1.17E-05,-11.34208733,-5,-11.34208733,5
-11.73992886,0,-1.17E-05,-11.73992886,-5,-11.73992886,5
-12.13797254,0,-1.18E-05,-12.13797254,-5,-12.13797254,5
-12.53621706,0,-1.19E-05,-12.53621706,-5,-12.53621706,5
