X,Y,Path_curvature,Xin,Yin,Xout,Yout,Inner BoundryD,Width
2.446378359,-0.053004079,0,2.446378359,-5,2.446378359,5,4.946995921,10
2.054789882,-0.044519787,0,2.054789882,-5,2.054789882,5,4.955480213,10
1.663232048,-0.03603616,0,1.663232048,-5,1.663232048,5,4.96396384,10
1.271721632,-0.02755356,0,1.271721632,-5,1.271721632,5,4.97244644,10
0.880254818,-0.019071905,0,0.880254818,-5,0.880254818,5,4.980928095,10
0.488818021,-0.0105909,0,0.488818021,-5,0.488818021,5,4.9894091,10
0.097399485,-0.004527663,0,0.097399485,-5,0.097399485,5,4.995472337,10
-0.294006033,-0.005593873,0,-0.294006033,-5,-0.294006033,5,4.994406127,10
-0.685406351,-0.011336389,0,-0.685406351,-5,-0.685406351,5,4.988663611,10
-1.076870735,-0.017811077,0,-1.076870735,-5,-1.076870735,5,4.982188923,10
-1.468525295,-0.024288911,0,-1.468525295,-5,-1.468525295,5,4.975711089,10
-1.860458157,-0.030771347,0,-1.860458157,-5,-1.860458157,5,4.969228653,10
-2.252701447,-0.037258918,0,-2.252701447,-5,-2.252701447,5,4.962741082,10
-2.645250428,-0.043751545,0,-2.645250428,-5,-2.645250428,5,4.956248455,10
-3.038081388,-0.050248836,0,-3.038081388,-5,-3.038081388,5,4.949751164,10
-3.431168349,-0.056750361,0,-3.431168349,-5,-3.431168349,5,4.943249639,10
-3.82449465,-0.063255844,0,-3.82449465,-5,-3.82449465,5,4.936744156,10
-4.218055318,-0.069765204,0,-4.218055318,-5,-4.218055318,5,4.930234796,10
-4.61185286,-0.076278482,0,-4.61185286,-5,-4.61185286,5,4.923721518,10
-5.005891666,-0.08279575,0,-5.005891666,-5,-5.005891666,5,4.91720425,10
-5.40017475,-0.089317059,0,-5.40017475,-5,-5.40017475,5,4.910682941,10
-5.794702707,-0.095842418,0,-5.794702707,-5,-5.794702707,5,4.904157582,10
-6.189473988,-0.102371801,0,-6.189473988,-5,-6.189473988,5,4.897628199,10
-6.584485552,-0.108905158,0,-6.584485552,-5,-6.584485552,5,4.891094842,10
-6.97973343,-0.115442424,0,-6.97973343,-5,-6.97973343,5,4.884557576,10
-7.375213372,-0.121983528,0,-7.375213372,-5,-7.375213372,5,4.878016472,10
-7.770921402,-0.128528405,0,-7.770921402,-5,-7.770921402,5,4.871471595,10
-8.166854112,-0.135076998,0,-8.166854112,-5,-8.166854112,5,4.864923002,10
-8.563008542,-0.141629258,0,-8.563008542,-5,-8.563008542,5,4.858370742,10
-8.959382025,-0.148185141,0,-8.959382025,-5,-8.959382025,5,4.851814859,10
-9.355972033,-0.154744605,0,-9.355972033,-5,-9.355972033,5,4.845255395,10
-9.752776106,-0.16130761,0,-9.752776106,-5,-9.752776106,5,4.83869239,10
-10.14979186,-0.167874116,0,-10.14979186,-5,-10.14979186,5,4.832125884,10
-10.54701702,-0.174444085,0,-10.54701702,-5,-10.54701702,5,4.825555915,10
-10.94444948,-0.181017482,0,-10.94444948,-5,-10.94444948,5,4.818982518,10
-11.34208733,-0.187594278,0,-11.34208733,-5,-11.34208733,5,4.812405722,10
-11.73992886,-0.194174442,0,-11.73992886,-5,-11.73992886,5,4.805825558,10
-12.13797254,-0.200757949,0,-12.13797254,-5,-12.13797254,5,4.799242051,10
-12.53621706,-0.207344778,0,-12.53621706,-5,-12.53621706,5,4.792655222,10
-12.93466129,-0.213934911,0,-12.93466129,-5,-12.93466129,5,4.786065089,10
-13.33330432,-0.220528332,0,-13.33330432,-5,-13.33330432,5,4.779471668,10
-13.7321454,-0.227125028,0,-13.7321454,-5,-13.7321454,5,4.772874972,10
-14.131184,-0.233724991,0,-14.131184,-5,-14.131184,5,4.766275009,10
-14.53041975,-0.240328215,0,-14.53041975,-5,-14.53041975,5,4.759671785,10
-14.92985243,-0.246934696,0,-14.92985243,-5,-14.92985243,5,4.753065304,10
-15.329482,-0.253544434,0,-15.329482,-5,-15.329482,5,4.746455566,10
-15.72930853,-0.260157429,0,-15.72930853,-5,-15.72930853,5,4.739842571,10
-16.12933219,-0.266773684,0,-16.12933219,-5,-16.12933219,5,4.733226316,10
-16.52955326,-0.273393205,0,-16.52955326,-5,-16.52955326,5,4.726606795,10
-16.92997209,-0.280015997,0,-16.92997209,-5,-16.92997209,5,4.719984003,10
-17.33058902,-0.286642065,0,-17.33058902,-5,-17.33058902,5,4.713357935,10
-17.73140442,-0.293271416,0,-17.73140442,-5,-17.73140442,5,4.706728584,10
-18.13241862,-0.299904054,0,-18.13241862,-5,-18.13241862,5,4.700095946,10
-18.53363192,-0.306539987,0,-18.53363192,-5,-18.53363192,5,4.693460013,10
-18.93504462,-0.313179217,0,-18.93504462,-5,-18.93504462,5,4.686820783,10
-19.33665695,-0.319821748,0,-19.33665695,-5,-19.33665695,5,4.680178252,10
-19.73846915,-0.326467586,0,-19.73846915,-5,-19.73846915,5,4.673532414,10
-20.1404814,-0.333116732,0,-20.1404814,-5,-20.1404814,5,4.666883268,10
-20.54269389,-0.33976919,0,-20.54269389,-5,-20.54269389,5,4.66023081,10
-20.94510674,-0.346424962,0,-20.94510674,-5,-20.94510674,5,4.653575038,10
-21.34772007,-0.35308405,0,-21.34772007,-5,-21.34772007,5,4.64691595,10
